Category,Sub category,Service Name,Service Name in Marathi,,Duration in minuts,Gender,Amount,Discount In[Flat/Percentage],Discount Type[Flexible/Fixed],Flexible Min Length,Flexible Max Length,Service Discount[if dicount type fixed else add 0],Reward Point,Reminder In Days,Short Description,Long Description
1,1,Haircut ,कटिंग,,25,0,120,0,0,10,20,,,,,
1,1,Basic ,बेसिक,,25,0,120,,,,,,,,,
1,1,Creative,क्रीएटीव्ह,,30,0,150,,,,,,,,,
1,1,Kids Haircut,लहान मुलांची कटिंग,,25,0,100,,,,,,,,Up to 13 years |१३ वर्षांपर्यंत ,
1,2,Beard shape, कोरीव दाढी,,20,0,100,,,,,,,,Basic,
1,2,Beard Shape, कोरीव दाढी,,30,0,120,,,,,,,,Creativ,
1,2,Clean Shave, दाढी,,15,0,90,,,,,,,,,
1,2,Beard Trimming,झिरो मशीन दाढी,,15,0,80,,,,,,,,,
1,3,Global ,ग्लोबल,,15,0,230,,,,,,,,with ammonia,
1,3,Global ,ग्लोबल,,15,0,250,,,,,,,,without ammonia,
1,3,Highlight ,हायलाईट,,,0,200,,,,,,,,with Prelightner,
1,3,Highlight ,हायलाईट,,,0,,,,,,,,,without Prelightner,
1,3,Beard Colour,दाढी कलर,,15,0,100,,,,,,,,,
1,3,Global,ग्लोबल,,15,0,210,,,,,,,,With wash | केस धुण्यासह,
1,3,Global ,ग्लोबल ,,,0,,,,,,,,,Without wash | केस न धुता,
1,4,Hair wash,हेअर वॉश,,15,0,50,,,,,,,,,
1,5,With wash,केस धुण्यासह,,50,0,15,,,,,,,,,
1,5,Without wash,केस न धुता,,30,0,10,,,,,,,,,
1,6,Basic Hydration,बेसिक हायड्रेशन ,,35,0,299,,,,,,,,"nourishment, freshness, smoothness, strength, healthy to your dry and damaged hair. more",
1,6,Hair Fall Treatment,हेअर फॉल ट्रीटमेंट ,,35,0,399,,,,,,,,,
1,6,Dandruff ,डैंड्रफ ,,35,0,199,,,,,,,,,
1,6,Keratin ,केराटीन ,,35,0,499,,,,,,,,,
1,6,Head Massage,हेड मसाज,,15,0,100,,,,,,,,Help relieve stress and reduce tension. more,
1,7,Fiber Plex,फायबर प्लेक्स,,,0,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,Ola Plex,ओला प्लेक्स,,,0,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,Wella Plex,वेल्ला प्लेक्स,,,0,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,K18,के एटिन,,,0,2000,,,,,,,, A great solution for dry damage hair. more,
1,8,Keratin,केराटीन,,,0,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Bluetox,ब्ल्यूटॉक्स,,,0,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Botox,बोटॉक्स,,,0,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Nanoplastia,नॅनोप्लॅस्टिया,,,0,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,9,Smoothning,स्मूथनिंग,,,0,1499,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Straightening,सरळ केस करणे,,,0,1499,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Rebonding,रिबॉंडिंग,,,0,1999,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Perming ,कुरळे केस करणे,,,0,2499,,,,,,,,A chemical process that straightens and smooths hair.,
2,10,Forehead,कपाळ,,,0,50,,,,,,,,,
2,10,Chiks,डोळ्याखालील गालावरचा भाग,,,0,,,,,,,,,,
2,11,Eyebrow,भुवया,,,0,50,,,,,,,,,
2,11,Chiks,डोळ्याखालील गालावरचा भाग,,,0,,,,,,,,,,
2,11,Forehead,कपाळ,,,0,20,,,,,,,,,
2,12,Classic,,,,0,599,,,,,,,,,
2,12,Microdermabrasion,,,,0,99,,,,,,,,,
2,12,Anti- Aging ,,,,0,1499,,,,,,,,,
2,12,Chemical Peel,,,,0,,,,,,,,,,
2,12,Hydrating Facial,,,,0,,,,,,,,,,
2,12,Brightening Facial,,,,0,,,,,,,,,,
2,12,Hydra Facial,,,,0,,,,,,,,,,
2,12,Facial,,,,0,599,,,,,,,,,
2,13,Pro. Cleanup,प्रोफेशनल क्लिनअप,,,0,499,,,,,,,,,
2,14,Face & Neck,,,,0,299,,,,,,,,,
2,15,Full Hand,,,,0,340,,,,,,,,,
2,15,D -Tan,डी- टॅन,,,0,249,,,,,,,,,
2,16,Scrub,स्क्रब,,,0,,,,,,,,,,
2,17,Face Massage,फेस मसाज,,,0,,,,,,,,,,
2,18,Body polishing,,,,0,,,,,,,,,"a skin treatment that exfoliates, hydrates, and nourishes the entire body",
2,18,Body Massage,,,,0,,,,,,,,,"A manual therapy that kneads or manipulates muscles, tendons, ligaments, and skin.",
2,18,Body Scrub,,,,0,,,,,,,,,A spa treatment that exfoliates and softens the skin.,
3,19,Luxurious ,लक्झरीयस,,,0,2400,,,,,,,,a cosmetic treatment for the feet and toenails,
3,19,Premium ,प्रिमियम,,,0,1900,,,,,,,,a cosmetic treatment for the feet and toenails,
3,19,Express ,एक्सप्रेस,,,0,1600,,,,,,,,a cosmetic treatment for the feet and toenails,
3,20,Luxurious ,लक्झरीयस,,,0,1900,,,,,,,,a beauty treatment for the hands and fingernails,
3,20,Premium ,प्रिमियम,,,0,1400,,,,,,,,a beauty treatment for the hands and fingernails,
3,20,Express ,एक्सप्रेस,,,0,1100,,,,,,,,a beauty treatment for the hands and fingernails,
4,21,Groom,नवरदेव,,,0,,,,,,,,,,
4,24,Engagement ,एंगेजमेंट,,,0,,,,,,,,,,
4,25,Party ,पार्टी,,,0,,,,,,,,,,
4,26,Mehandi Design,मेहंदी डिझाईन,,,0,,,,,,,,,,
1,1,Haircut ,कटिंग,,45,1,120,0,0,10,20,,,,,
1,1,Basic ,बेसिक,,45,1,120,,,,,,,,,
1,1,Creative,क्रीएटीव्ह,,45,1,150,,,,,,,,,
1,1,Kids Haircut,लहान मुलींची कटिंग,,35,1,100,,,,,,,,Up to 13 years |१३ वर्षांपर्यंत ,
1,3,Root touch up ,रूट टच अप,,30,1,200,,,,,,,,with ammonia,
1,3,Root touch up ,रूट टच अप,,30,1,250,,,,,,,,without ammonia,
1,3,Global ,ग्लोबल,,15,1,230,,,,,,,,with ammonia,
1,3,Global ,ग्लोबल,,15,1,250,,,,,,,,without ammonia,
1,3,Highlight ,हायलाईट,,,1,200,,,,,,,,with Prelightner,
1,3,Highlight ,हायलाईट,,,1,,,,,,,,,without Prelightner,
1,3,Global,ग्लोबल,,15,1,210,,,,,,,,With wash | केस धुण्यासह,
1,3,Global ,ग्लोबल ,,,1,,,,,,,,,Without wash | केस न धुता,
1,4,With Blast dry,फक्त ड्राय ,,30,1,120,,,,,,,,,
1,4,With Blow dry,ब्लो ड्रायसह,,50,1,60,,,,,,,,,
1,5,with wash,केस धुण्यासह,,,1,60,,,,,,,,,
1,5,without wash,केस न धुता,,30,1,50,,,,,,,,,
1,6,Basic Hydration,बेसिक हायड्रेशन ,,35,1,299,,,,,,,,"nourishment, freshness, smoothness, strength, healthy to your dry and damaged hair. more",
1,6,Hair Fall Treatment,हेअर फॉल ट्रीटमेंट ,,35,1,399,,,,,,,,,
1,6,Dandruff ,डैंड्रफ ,,35,1,199,,,,,,,,,
1,6,Keratin ,केराटीन ,,35,1,499,,,,,,,,,
1,6,Head Massage,हेड मसाज,,15,1,100,,,,,,,,Help relieve stress and reduce tension. more,
1,7,Fiber Plex,फायबर प्लेक्स,,,1,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,Ola Plex,ओला प्लेक्स,,,1,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,Wella Plex,वेल्ला प्लेक्स,,,1,2000,,,,,,,, A great solution for dry damage hair. more,
1,7,K18,के एटिन,,,1,2000,,,,,,,, A great solution for dry damage hair. more,
1,8,Keratin,केराटीन,,,1,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Bluetox,ब्ल्यूटॉक्स,,,1,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Botox,बोटॉक्स,,,1,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,8,Nanoplastia,नॅनोप्लॅस्टिया,,,1,2499,,,,,,,,Helps straighten and smooth frizzy or damage hair. more,
1,9,Smoothning,स्मूथनिंग,,,1,1499,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Straightening,सरळ केस करणे,,,1,1499,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Rebonding,रिबॉंडिंग,,,1,1999,,,,,,,,A chemical process that straightens and smooths hair.,
1,9,Perming ,कुरळे केस करणे,,,1,2499,,,,,,,,A chemical process that straightens and smooths hair.,
2,10,Upper lips,ओठांच्या वरील भाग,,,1,60,,,,,,,,,
2,10,Forehead,कपाळ,,,1,40,,,,,,,,,
2,10,Chin,हनुवटी,,,1,30,,,,,,,,,
2,10,Jawline,जबडा,,,1,30,,,,,,,,,
2,10,Cheek,गाल,,,1,30,,,,,,,,,
2,11,Eyebrow,भुवया,,,1,50,,,,,,,,,
2,11,Upper lips,ओठांच्या वरील भाग,,,1,30,,,,,,,,,
2,11,Forehead,कपाळ,,,1,20,,,,,,,,,
2,11,Chin,हनुवटी,,,1,20,,,,,,,,,
2,11,Jawline,जबडा,,,1,20,,,,,,,,,
2,11,Cheek,गाल,,,1,30,,,,,,,,,
2,12,Classic,,,,1,599,,,,,,,,,
2,12,Microdermabrasion,,,,1,99,,,,,,,,,
2,12,Anti- Aging ,,,,1,1499,,,,,,,,,
2,12,Chemical Peel,,,,1,,,,,,,,,,
2,12,Hydrating Facial,,,,1,,,,,,,,,,
2,12,Brightening Facial,,,,1,,,,,,,,,,
2,12,Hydra Facial,,,,1,,,,,,,,,,
2,12,Facial,,,,1,599,,,,,,,,,
2,13,Pro. Cleanup,प्रोफेशनल क्लिनअप,,,1,499,,,,,,,,,
2,14,Face,,,,1,299,,,,,,,,,
2,14,Face & Neck,,,,1,340,,,,,,,,,
2,14,Full Hand,,,,1,300,,,,,,,,,
2,14,Full Back,,,,1,,,,,,,,,,
2,14,Half Back,,,,1,,,,,,,,,,
2,14,Full Arms,,,,1,,,,,,,,,,
2,14,Full Body,,,,1,,,,,,,,,,
2,15,D -Tan,डी- टॅन,,,1,249,,,,,,,,,
2,16,Scrub,स्क्रब,,,1,,,,,,,,,,
2,17,Face Massage,फेस मसाज,,,1,,,,,,,,,,
2,18,Body polishing,,,,1,,,,,,,,,"a skin treatment that exfoliates, hydrates, and nourishes the entire body",
2,18,Body Massage,,,,1,,,,,,,,,"A manual therapy that kneads or manipulates muscles, tendons, ligaments, and skin.",
2,18,Body Scrub,,,,1,,,,,,,,,A spa treatment that exfoliates and softens the skin.,
3,19,Luxurious ,लक्झरीयस,,,1,2400,,,,,,,,a cosmetic treatment for the feet and toenails,
3,19,Premium ,प्रिमियम,,,1,1900,,,,,,,,a cosmetic treatment for the feet and toenails,
3,19,Express ,एक्सप्रेस,,,1,1600,,,,,,,,a cosmetic treatment for the feet and toenails,
3,20,Luxurious ,लक्झरीयस,,,1,1900,,,,,,,,a beauty treatment for the hands and fingernails,
3,20,Premium ,प्रिमियम,,,1,1400,,,,,,,,a beauty treatment for the hands and fingernails,
3,20,Express ,एक्सप्रेस,,,1,1100,,,,,,,,a beauty treatment for the hands and fingernails,
4,31,नवरी,,,,1,,,,,,,,,,
4,24,एंगेजमेंट,,,,1,,,,,,,,,,
4,32,साइडर,,,,1,,,,,,,,,,
4,25,पार्टी,,,,1,,,,,,,,,,
4,26,मेहंदी डिझाइन,,,,1,,,,,,,,,,
